iteration	time	average_speed	average_speed_lane_0	average_speed_lane_1	average_speed_lane_2	vehicle_count
336	0.2817588	3.1666667	2.2777777	3.7058823	3.6923077	48
337	0.2828544	3.625	2.8421052	4.117647	4.1666665	48
338	0.2837527	3.1666667	2.375	3.05	4.4166665	48
339	0.2844127	3.2708333	2.8947368	2.6666667	4.909091	48
340	0.2851339	3.4166667	3.3125	2.95	4.3333335	48
341	0.28590968	3.1875	3.0555556	2.4117646	4.3846154	48
342	0.2865944	3	2.6842105	2.25	4.3846154	48
343	0.2872879	2.6875	1.7368422	2.8125	3.9230769	48
344	0.2880048	2.7916667	2.1875	2.6666667	3.642857	48
345	0.28866908	2.8333333	2.235294	2.8421052	3.6666667	48
346	0.28944668	2.8333333	2.235294	2.7368422	3.8333333	48
347	0.2902364	3.25	3.2307692	2.6086957	4.5	48
348	0.2909581	2.9583333	3.8	1.55	4.1538463	48
349	0.2918618	3.1041667	3.05	2.1875	4.4166665	48
350	0.2926838	3.125	2.631579	2.5294118	4.75	48
351	0.29335412	3.2708333	2.4210527	3	5	48
352	0.294053	3.3125	2.3888888	2.8235295	5.230769	48
353	0.2947906	3.2291667	2.5882354	2.45	5.6363635	48
354	0.2954663	2.8541667	2.4736843	1.8333334	5.181818	48
355	0.2961662	3.0625	2.5263157	1.9473684	6.2	48
356	0.2971747	3.6041667	3.2777777	2.3125	5.5	48
357	0.2981103	3.25	2.6875	3.3333333	3.7857144	48
358	0.2992282	3.1666667	2.45	3.4615386	3.8666666	48
359	0.3000927	2.7708333	2.15	3.4666667	2.9230769	48
360	0.3008101	2.75	2.5	3.0526316	2.6363637	48
361	0.3014418	2.5208333	2.0555556	2.6111112	3.0833333	48
362	0.3022259	2.5208333	1.7826087	3.2666667	3.1	48
363	0.3029871	2.4583333	1.76	3.3076923	3.1	48
364	0.303622	2.5625	1.9166666	2.5384614	4	48
365	0.3043539	2.75	1.7727273	2.8125	4.8	48
366	0.3050279	2.8333333	1.6818181	2.9333334	5	48
367	0.3056947	2.8333333	1.5238096	3.2666667	4.5833335	48
368	0.3064778	2.8541667	1.9	3	4.25	48
369	0.3073611	2.9375	2	3.125	4.25	48
370	0.3081116	2.7916667	2.0588236	2.8	3.909091	48
371	0.308882	2.8333333	2.8333333	2.3888888	3.5	48
372	0.3096763	2.7291667	2.65	2.4375	3.25	48
373	0.31043717	2.9166667	3	2.7777777	3	48
374	0.31119388	3.0833333	3.1176472	3	3.125	48
375	0.3118943	2.9375	3.2222223	3.2142856	2.375	48
376	0.3126759	2.4166667	2.5	2.4285715	2.3125	48
377	0.313448	2.2708333	2.235294	2.1111112	2.5384614	48
378	0.31443802	2.375	2.25	2.0555556	2.9285715	48
379	0.3155427	2.3125	2	2.2631578	2.7692308	48
380	0.3165797	2.2291667	2.25	1.85	2.8333333	48
381	0.3172422	2.5833333	2.5625	2.2	3.25	48
382	0.3178726	2.3958333	2.2857144	1.8636364	3.5	48
383	0.31864	2.2916667	2.625	1.3157895	3.3076923	48
384	0.3192842	2.3541667	2	1.9333333	3.3846154	48
385	0.31994072	2.4791667	1.9444444	2.0588236	3.7692308	48
386	0.3206563	2.6666667	2.1052632	2.25	4	48
387	0.3213659	2.625	1.9	2.857143	3.4285715	48
388	0.3220072	3.0208333	2.4375	2.6666667	4.142857	48
