iteration,time,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,vehicle_count,lane_change_probability,deceleration_probability,max_speed_lane_1,max_speed_lane_2,max_speed_lane_3,flow
226,0.0289043,1.5362319,1.1851852,1.28,2.4705882,69,0.5,0.4,9,9,9,1.06
227,0.0331325,1.8857143,2.15,1.7586207,1.8095238,70,0.5,0.4,9,9,9,1.3199999
228,0.0317624,1.5142857,1.6428572,1.1666666,1.7777778,70,0.5,0.4,9,9,9,1.06
229,0.032155,1.2428571,1.44,1.1304348,1.1363636,70,0.5,0.4,9,9,9,0.86999995
230,0.0316124,1.3802817,1.2758621,1.4347826,1.4736842,71,0.5,0.4,9,9,9,0.97999996
231,0.0317626,1.3380282,0.962963,1.4642857,1.75,71,0.5,0.4,9,9,9,0.95
232,0.0293179,1.7323943,1.7142857,1.826087,1.65,71,0.5,0.4,9,9,9,1.2299999
233,0.0313474,1.5633802,1.7083334,1.4074074,1.6,71,0.5,0.4,9,9,9,1.1099999
234,0.0310964,1.7222222,1.9090909,1.4193548,2,72,0.5,0.4,9,9,9,1.24
235,0.030818,1.5277778,1.375,1.5,1.7083334,72,0.5,0.4,9,9,9,1.1
236,0.030445,1.6944444,1.7407408,1.24,2.2,72,0.5,0.4,9,9,9,1.22
237,0.0317355,1.6027397,1.5,1.7407408,1.5454545,73,0.5,0.4,9,9,9,1.17
238,0.0324613,1.6575342,1.4642857,1.3846154,2.3157895,73,0.5,0.4,9,9,9,1.21
239,0.0321873,1.4246576,1.3448275,1.1304348,1.8571428,73,0.5,0.4,9,9,9,1.0400001
240,0.0322965,1.3972603,1.4074074,1.1724138,1.7647059,73,0.5,0.4,9,9,9,1.0200001
241,0.0323658,1.581081,1.5555556,1.5384616,1.6666666,74,0.5,0.4,9,9,9,1.17
242,0.0309102,1.4324324,1.8181819,0.9032258,1.8095238,74,0.5,0.4,9,9,9,1.06
243,0.0306162,1.4054054,1.08,1.4333333,1.7894737,74,0.5,0.4,9,9,9,1.04
244,0.0333863,1.5066667,1.516129,1.2307693,1.8888888,75,0.5,0.4,9,9,9,1.13
245,0.0317239,1.36,1.4615384,1.1071428,1.5714285,75,0.5,0.4,9,9,9,1.02
246,0.0330366,1.7066667,1.4482758,1.5,2.2727273,75,0.5,0.4,9,9,9,1.28
247,0.0329209,1.6578947,1.7692307,1.2413793,2.0952382,76,0.5,0.4,9,9,9,1.26
248,0.0330806,1.5789474,1.4814814,1.4814814,1.8181819,76,0.5,0.4,9,9,9,1.2
249,0.0321516,1.3157895,0.8,1.48,1.8571428,76,0.5,0.4,9,9,9,1
250,0.0335545,1.4736842,1.44,1.6785715,1.2608696,76,0.5,0.4,9,9,9,1.12
251,0.0328134,1.4675325,1.25,1.7037038,1.4545455,77,0.5,0.4,9,9,9,1.13
252,0.0328549,1.4155844,1.4,1.4642857,1.375,77,0.5,0.4,9,9,9,1.09
